date,symbol,open,close,low,high,volume
2021-01-27,KOSPI,3143.459961,3122.560059,3118.889893,3182.530029,924600
2021-01-28,KOSPI,3114.979980,3069.050049,3046.639893,3114.979980,1310500
2021-01-29,KOSPI,3078.729980,2976.209961,2962.699951,3100.219971,995100
2021-02-01,KOSPI,2976.810059,3056.530029,2947.239990,3056.870117,969300
2021-02-02,KOSPI,3065.560059,3096.810059,3065.560059,3138.949951,887300
2021-02-03,KOSPI,3108.419922,3129.679932,3091.850098,3142.260010,901800
2021-02-04,KOSPI,3135.020020,3087.550049,3068.459961,3135.020020,1460900
2021-02-05,KOSPI,3098.489990,3120.629883,3081.780029,3124.620117,1193500
2021-02-08,KOSPI,3113.629883,3091.239990,3085.590088,3128.540039,1277200
2021-02-09,KOSPI,3102.250000,3084.669922,3084.669922,3129.659912,2145400
2021-02-10,KOSPI,3088.129883,3100.580078,3064.250000,3111.879883,2152900
2021-02-15,KOSPI,3108.699951,3147.000000,3108.699951,3156.560059,1604700
2021-02-16,KOSPI,3151.850098,3163.250000,3145.840088,3180.939941,1944400
2021-02-17,KOSPI,3162.949951,3133.729980,3115.479980,3162.949951,1784100
2021-02-18,KOSPI,3131.739990,3086.659912,3086.659912,3140.399902,1860600
2021-02-19,KOSPI,3089.959961,3107.620117,3040.280029,3109.669922,3455500
2021-02-22,KOSPI,3114.030029,3079.750000,3079.159912,3142.479980,1832000
2021-02-23,KOSPI,3069.260010,3070.090088,3035.459961,3094.290039,2357800
2021-02-24,KOSPI,3070.580078,2994.979980,2993.459961,3092.050049,1560900
2021-02-25,KOSPI,3026.469971,3099.689941,3026.469971,3099.800049,1280100
2021-02-26,KOSPI,3089.489990,3012.949951,2988.280029,3089.489990,1361300
2021-03-02,KOSPI,3021.679932,3043.870117,3020.739990,3096.500000,1749900
2021-03-03,KOSPI,3041.199951,3082.989990,3029.370117,3083.040039,2236700
2021-03-04,KOSPI,3076.879883,3043.489990,3022.540039,3076.879883,1279000
2021-03-05,KOSPI,3036.159912,3026.260010,2982.449951,3036.979980,1187200
2021-03-08,KOSPI,3031.989990,2996.110107,2992.639893,3055.649902,1928300
2021-03-09,KOSPI,2989.959961,2976.120117,2929.360107,3000.489990,1534200
2021-03-10,KOSPI,2980.760010,2958.120117,2951.530029,3013.949951,905600
2021-03-11,KOSPI,2964.300049,3013.699951,2964.300049,3028.370117,1349200
2021-03-12,KOSPI,3030.729980,3054.389893,3030.729980,3061.429932,1669100
2021-03-15,KOSPI,3057.060059,3045.709961,3036.139893,3065.169922,1161800
2021-03-16,KOSPI,3049.229980,3067.169922,3049.229980,3071.540039,1123900
2021-03-17,KOSPI,3067.760010,3047.500000,3027.199951,3069.570068,815000
2021-03-18,KOSPI,3054.929932,3066.010010,3054.929932,3090.189941,1232600
2021-03-19,KOSPI,3063.010010,3039.530029,3022.489990,3063.010010,1068500
2021-03-22,KOSPI,3040.010010,3035.459961,3019.600098,3048.110107,915700
2021-03-23,KOSPI,3038.250000,3004.739990,3003.050049,3058.790039,1331200
2021-03-24,KOSPI,2996.320068,2996.350098,2971.040039,3006.540039,978400
2021-03-25,KOSPI,2995.669922,3008.330078,2987.830078,3024.629883,940400
2021-03-26,KOSPI,3012.790039,3041.010010,3012.790039,3041.860107,1036400
2021-03-29,KOSPI,3047.709961,3036.040039,3025.389893,3054.209961,1288800
2021-03-30,KOSPI,3038.439941,3070.000000,3038.439941,3074.570068,1023100
2021-03-31,KOSPI,3073.389893,3061.419922,3061.399902,3093.889893,1147000
2021-04-01,KOSPI,3073.770020,3087.399902,3069.679932,3090.879883,922700
2021-04-02,KOSPI,3104.719971,3112.800049,3101.600098,3121.580078,792700
2021-04-05,KOSPI,3121.229980,3120.830078,3101.860107,3127.199951,1084800
2021-04-06,KOSPI,3123.800049,3127.080078,3110.189941,3139.290039,1279000
2021-04-07,KOSPI,3129.070068,3137.409912,3125.330078,3146.189941,1984800
2021-04-08,KOSPI,3137.250000,3143.260010,3122.090088,3145.810059,1357300
2021-04-09,KOSPI,3146.510010,3131.879883,3125.239990,3156.040039,1823200
